,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
2667,2022-03-18,37051,Cumberland County,NC,75.43695799452571,26.3,426.15,0.007901196,332861.0,61346,18.4
2670,2022-03-25,12086,Miami-Dade County,FL,171.34167777315113,22.0428571428571,308.735294117647,0.0008165751,2699428.0,79100,17.1
2674,2022-03-25,23029,Washington County,ME,852.9294084304421,0.0,,,31491.0,56280,18.9
2697,2022-03-25,18157,Tippecanoe County,IN,107.69020808821612,8.6,159.7,0.0044896191,191553.0,71389,18.7
2704,2022-03-25,37051,Cumberland County,NC,68.43690443474918,17.3,426.55,0.0051973647,332861.0,61346,18.4
2729,2022-03-25,13185,Lowndes County,GA,26.73644285158466,9.4,304.0,0.0081481225,115364.0,61180,24.4
2740,2022-03-25,51660,Harrisonburg city,VA,91.9063394421798,8.3,262.0,0.015580125,53273.0,65667,28.3
2742,2022-03-25,16057,Latah County,ID,70.69968266071011,,22.0,,39505.0,66546,18.1
2749,2022-03-25,22033,East Baton Rouge Parish,LA,86.93242830829683,1.38333333333333,,0.000311728,443763.0,82340,18.0
2755,2022-03-25,25025,Suffolk County,MA,197.4519122630559,4.64999999999999,,0.0005837272,796605.0,104274,18.2
2761,2022-03-25,28049,Hinds County,MS,11.977356938034404,14.4199999999999,283.6,0.0060386018,238797.0,61247,21.3
2786,2022-04-01,23029,Washington County,ME,736.7647389502013,0.0,,,31491.0,56280,18.9
2792,2022-04-01,13185,Lowndes County,GA,38.57815713254291,5.4,304.0,0.0046808363,115364.0,61180,24.4
